Timestamp,Transaction Type,Asset,Quantity Transacted,USD Spot Price at Transaction,USD Subtotal,USD Total (inclusive of fees),USD Fees
2021-09-09T17:22:10Z,Sell,ALGO,395.522105,2.3,911.53,897.95,13.58
2021-09-09T20:20:01Z,Sell,MANA,318.0536129,0.8587,273.11,269.04,4.07
2021-04-24T17:28:28Z,Buy,BTC,0.00392589,50182.25,197.01,200,2.99
2021-05-17T15:26:38Z,Buy,BTC,0.0021837,44424.6,97.01,100,2.99
2021-05-21T18:34:25Z,Buy,BTC,0.00261259,37131.74,97.01,100,2.99
2021-03-30T14:31:42Z,Buy,ETH,0.05260342,1844.18,97.01,100,2.99
2021-09-11T15:58:56Z,Buy,ETH,0.03181892,3328.21,105.9,108.89,2.99
2021-02-14T14:45:03Z,Buy,MANA,318.0536129,0.305,97.01,100,2.99
2021-03-14T16:35:22Z,Buy,ALGO,84.918943,1.14,97.01,100,2.99
2021-03-24T22:23:38Z,Buy,ALGO,94.857865,1.02,97.01,100,2.99
2021-05-05T16:47:50Z,Buy,ALGO,67.370593,1.44,97.01,100,2.99
2021-09-14T13:58:51Z,Buy,ALGO,96.296041,2.05,197.01,200,2.99
2021-09-17T23:16:33Z,Buy,ALGO,50.251113,1.93,97.01,100,2.99
2021-09-20T00:39:02Z,Buy,ALGO,50.482382,1.92,97.01,100,2.99
2021-09-20T14:22:10Z,Buy,ALGO,114.183278,1.73,197.01,200,2.99
2021-09-09T20:19:02Z,Sell,ATOM,5.294186,26.74,141.59,138.6,2.99
2021-04-11T18:28:43Z,Buy,ENJ,60.29832382,3.27,197.01,200,2.99
2021-04-04T22:01:24Z,Buy,CRV,31.60272499,3.07,97.01,100,2.99
2021-05-11T00:58:43Z,Buy,ICP,0.22448224,432.15,97.01,100,2.99
2021-05-07T19:21:06Z,Buy,CTSI,105.5520647,0.9191,97.01,100,2.99
2021-05-17T15:25:01Z,Buy,RLC,12.5932633,7.7,97.01,100,2.99
2021-06-04T20:01:28Z,Buy,DOGE,276.9969093,0.3863,107.01,110,2.99
2021-01-31T01:06:49Z,Buy,BTC,0.00139858,34327.68,48.01,50,1.99
2021-02-14T14:48:52Z,Buy,ALGO,33.140278,1.45,48.01,50,1.99
2021-03-28T21:35:37Z,Buy,ALGO,39.496605,1.22,48.01,50,1.99
2021-04-01T08:17:44Z,Buy,ALGO,34.899182,1.38,48.01,50,1.99
2021-04-15T08:19:07Z,Buy,ALGO,32.242171,1.49,48.01,50,1.99
2021-02-04T02:38:43Z,Buy,ATOM,5.17676,9.27,48.01,50,1.99
2021-03-26T03:44:09Z,Buy,STORJ,33.61561064,1.43,48.01,50,1.99
2021-03-26T03:39:27Z,Buy,ANKR,382.1691542,0.1256,48.01,50,1.99
2021-02-14T14:46:36Z,Buy,DNT,77.72237152,0.3025,23.51,25,1.49
2021-02-14T14:52:59Z,Buy,XTZ,2.764697,4.89,13.51,15,1.49
2021-02-14T14:35:11Z,Buy,BAT,15.79604926,0.5704,9.01,10,0.99
2021-02-14T14:51:32Z,Buy,DAI,8.94596713,1.01,9.01,10,0.99
2021-02-14T14:38:02Z,Buy,GRT,4.4707396,2.02,9.01,10,0.99
2021-09-14T12:40:03Z,Convert,USDC,200,1,199.09,200,0.91
2021-09-20T21:50:23Z,Convert,USDC,100,1,99.51,100,0.49
2021-05-14T12:33:58Z,Convert,ETH,0.05260342,3996.13,210.11,210.21,0.1
2021-02-02T06:00:21Z,Buy,BTC,0.00014759,34100,5.03,5.03,0
2021-07-21T18:58:48Z,Buy,USDC,10,1,10,10,0
2021-07-28T16:59:22Z,Buy,USDC,100,1,100,100,0
2021-08-02T18:11:54Z,Buy,USDC,100,1,100,100,0
2021-08-02T21:38:35Z,Buy,USDC,100,1,100,100,0
2021-08-06T19:44:58Z,Rewards Income,USDC,0.001771,1,0,0,0
2021-08-13T20:32:08Z,Buy,USDC,100,1,100,100,0
2021-08-13T21:08:28Z,Buy,USDC,200,1,200,200,0
2021-08-17T21:09:47Z,Buy,USDC,100,1,100,100,0
2021-08-20T06:26:38Z,Buy,USDC,100,1,100,100,0
2021-08-24T14:33:33Z,Buy,USDC,300,1,300,300,0
2021-08-31T03:02:38Z,Buy,USDC,300,1,300,300,0
2021-09-02T22:21:36Z,Rewards Income,USDC,0.020893,1,0.02,0.02,0
2021-09-02T23:29:58Z,Buy,USDC,400,1,400,400,0
2021-09-09T19:43:42Z,Buy,USDC,497.95,1,497.95,497.95,0
2021-09-14T12:41:48Z,Buy,USDC,200,1,200,200,0
2021-09-14T13:58:00Z,Buy,USDC,200,1,200,200,0
2021-09-21T21:59:56Z,Buy,USDC,300,1,300,300,0
2021-02-19T08:52:10Z,Rewards Income,DAI,0.00018486,1,0,0,0
2021-02-20T09:34:26Z,Rewards Income,DAI,0.00048536,1,0,0,0
2021-02-21T10:01:29Z,Rewards Income,DAI,0.00048536,1,0,0,0
2021-02-22T09:16:35Z,Rewards Income,DAI,0.00048536,1,0,0,0
2021-02-23T11:13:52Z,Rewards Income,DAI,0.00048536,1,0,0,0
2021-02-24T11:31:35Z,Rewards Income,DAI,0.00048537,1,0,0,0
2021-02-25T10:32:45Z,Rewards Income,DAI,0.00048539,1,0,0,0
2021-02-26T09:25:25Z,Rewards Income,DAI,0.00048541,1,0,0,0
2021-02-27T08:56:42Z,Rewards Income,DAI,0.00048544,1,0,0,0
2021-02-28T10:22:50Z,Rewards Income,DAI,0.00048546,1,0,0,0
2021-03-01T10:44:32Z,Rewards Income,DAI,0.00048549,1,0,0,0
2021-03-02T10:49:59Z,Rewards Income,DAI,0.00048552,1,0,0,0
2021-03-03T08:29:56Z,Rewards Income,DAI,0.00048554,1,0,0,0
2021-03-04T10:42:35Z,Rewards Income,DAI,0.00048557,1,0,0,0
2021-03-05T11:18:06Z,Rewards Income,DAI,0.0004856,1,0,0,0
2021-03-06T10:30:40Z,Rewards Income,DAI,0.00048562,1,0,0,0
2021-03-07T08:19:39Z,Rewards Income,DAI,0.00048565,1,0,0,0
2021-03-08T08:32:30Z,Rewards Income,DAI,0.00048568,1,0,0,0
2021-03-09T10:06:33Z,Rewards Income,DAI,0.0004857,1,0,0,0
2021-03-10T08:25:20Z,Rewards Income,DAI,0.00048573,1,0,0,0
2021-03-11T08:10:27Z,Rewards Income,DAI,0.00048575,1,0,0,0
2021-03-12T09:01:20Z,Rewards Income,DAI,0.00048578,1,0,0,0
2021-03-13T09:48:31Z,Rewards Income,DAI,0.00048581,1,0,0,0
2021-03-14T09:37:06Z,Rewards Income,DAI,0.00048583,1,0,0,0
2021-03-15T08:03:41Z,Rewards Income,DAI,0.00048586,1,0,0,0
2021-03-16T09:22:22Z,Rewards Income,DAI,0.00048589,1,0,0,0
2021-03-17T08:20:36Z,Rewards Income,DAI,0.00048591,1,0,0,0
2021-03-18T08:43:45Z,Rewards Income,DAI,0.00048594,1,0,0,0
2021-03-19T08:07:20Z,Rewards Income,DAI,0.00048597,1,0,0,0
2021-03-20T09:18:25Z,Rewards Income,DAI,0.00048599,1,0,0,0
2021-03-21T09:29:39Z,Rewards Income,DAI,0.00048602,1,0,0,0
2021-03-22T08:54:55Z,Rewards Income,DAI,0.00048605,1,0,0,0
2021-03-23T09:12:42Z,Rewards Income,DAI,0.00048607,1,0,0,0
2021-03-24T07:39:45Z,Rewards Income,DAI,0.0004861,1,0,0,0
2021-03-25T09:45:20Z,Rewards Income,DAI,0.00048612,1,0,0,0
2021-03-26T11:29:19Z,Rewards Income,DAI,0.00048615,1,0,0,0
2021-03-27T10:55:26Z,Rewards Income,DAI,0.00048618,1,0,0,0
2021-03-28T08:45:43Z,Rewards Income,DAI,0.0004862,1,0,0,0
2021-03-29T09:36:02Z,Rewards Income,DAI,0.00048623,1,0,0,0
2021-03-30T09:47:03Z,Rewards Income,DAI,0.00048626,1,0,0,0
2021-03-31T11:27:47Z,Rewards Income,DAI,0.00048628,1,0,0,0
2021-04-01T09:25:26Z,Rewards Income,DAI,0.00048631,1,0,0,0
2021-04-02T11:14:22Z,Rewards Income,DAI,0.00048634,1,0,0,0
2021-04-03T11:36:44Z,Rewards Income,DAI,0.00048636,1,0,0,0
2021-04-04T10:02:08Z,Rewards Income,DAI,0.00048639,1,0,0,0
2021-04-05T07:44:45Z,Rewards Income,DAI,0.00048641,1,0,0,0
2021-04-06T11:15:45Z,Rewards Income,DAI,0.00048644,1,0,0,0
2021-04-07T09:35:18Z,Rewards Income,DAI,0.00048647,1,0,0,0
2021-04-08T10:53:45Z,Rewards Income,DAI,0.00048649,1,0,0,0
2021-04-09T09:31:07Z,Rewards Income,DAI,0.00048652,1,0,0,0
2021-04-10T08:51:58Z,Rewards Income,DAI,0.00048655,1,0,0,0
2021-04-11T10:41:34Z,Rewards Income,DAI,0.00048657,1,0,0,0
2021-04-12T11:07:11Z,Rewards Income,DAI,0.0004866,1,0,0,0
2021-04-13T10:00:29Z,Rewards Income,DAI,0.00048662,1,0,0,0
2021-04-14T08:54:55Z,Rewards Income,DAI,0.00048665,1,0,0,0
2021-04-15T11:10:42Z,Rewards Income,DAI,0.00048668,1,0,0,0
2021-04-16T08:38:06Z,Rewards Income,DAI,0.0004867,1,0,0,0
2021-04-17T09:35:33Z,Rewards Income,DAI,0.00048673,1,0,0,0
2021-04-18T11:21:43Z,Rewards Income,DAI,0.00048676,1,0,0,0
2021-04-19T07:37:13Z,Rewards Income,DAI,0.00048678,1,0,0,0
2021-04-20T10:57:14Z,Rewards Income,DAI,0.00048681,1,0,0,0
2021-04-21T08:12:49Z,Rewards Income,DAI,0.00048684,1,0,0,0
2021-04-22T08:27:34Z,Rewards Income,DAI,0.00048686,1,0,0,0
2021-04-23T08:34:36Z,Rewards Income,DAI,0.00048689,1,0,0,0
2021-04-24T09:42:20Z,Rewards Income,DAI,0.00048692,1,0,0,0
2021-04-25T11:06:03Z,Rewards Income,DAI,0.00048694,1,0,0,0
2021-04-26T09:20:14Z,Rewards Income,DAI,0.00048697,1,0,0,0
2021-04-27T10:18:01Z,Rewards Income,DAI,0.000487,1,0,0,0
2021-04-28T10:32:46Z,Rewards Income,DAI,0.00048702,1,0,0,0
2021-04-29T10:25:21Z,Rewards Income,DAI,0.00048705,1,0,0,0
2021-04-30T10:28:23Z,Rewards Income,DAI,0.00048707,1,0,0,0
2021-05-01T08:30:25Z,Rewards Income,DAI,0.0004871,1,0,0,0
2021-05-02T09:33:42Z,Rewards Income,DAI,0.00048713,1,0,0,0
2021-05-03T08:21:13Z,Rewards Income,DAI,0.00048715,1,0,0,0
2021-05-04T07:40:56Z,Rewards Income,DAI,0.00048718,1,0,0,0
2021-05-05T08:20:22Z,Rewards Income,DAI,0.00048721,1,0,0,0
2021-05-06T08:14:20Z,Rewards Income,DAI,0.00048723,1,0,0,0
2021-05-07T09:16:46Z,Rewards Income,DAI,0.00048726,1,0,0,0
2021-05-08T07:32:45Z,Rewards Income,DAI,0.00048729,1,0,0,0
2021-05-09T09:05:09Z,Rewards Income,DAI,0.00048731,1,0,0,0
2021-05-10T08:38:00Z,Rewards Income,DAI,0.00048734,1,0,0,0
2021-05-11T10:18:50Z,Rewards Income,DAI,0.00048737,1,0,0,0
2021-05-12T07:47:05Z,Rewards Income,DAI,0.00048739,1,0,0,0
2021-05-13T11:29:14Z,Rewards Income,DAI,0.00048742,1,0,0,0
2021-05-14T07:57:21Z,Rewards Income,DAI,0.00048744,1,0,0,0
2021-05-15T11:02:56Z,Rewards Income,DAI,0.00048747,1,0,0,0
2021-05-16T07:48:46Z,Rewards Income,DAI,0.0004875,1,0,0,0
2021-05-17T07:44:47Z,Rewards Income,DAI,0.00048753,1,0,0,0
2021-05-18T08:24:06Z,Rewards Income,DAI,0.00048755,1,0,0,0
2021-05-19T09:33:51Z,Rewards Income,DAI,0.00048758,1,0,0,0
2021-05-20T10:05:31Z,Rewards Income,DAI,0.0004876,1,0,0,0
2021-05-21T08:35:40Z,Rewards Income,DAI,0.00048763,1,0,0,0
2021-05-22T08:30:20Z,Rewards Income,DAI,0.00048766,1,0,0,0
2021-05-23T10:44:27Z,Rewards Income,DAI,0.00048768,1,0,0,0
2021-05-24T08:50:23Z,Rewards Income,DAI,0.00048771,1,0,0,0
2021-05-25T10:47:30Z,Rewards Income,DAI,0.00048773,1,0,0,0
2021-05-26T09:09:10Z,Rewards Income,DAI,0.00048776,1,0,0,0
2021-05-27T10:59:27Z,Rewards Income,DAI,0.00048779,1,0,0,0
